Stock_ID,Date,Open,High,Low,Close,Adj Close,Volume,Entity,Code,New Cases,Case Fatality,New Deaths,SMA 30,SMA 90,Signal,Position,Buy,Sell,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ADX30,ADX14,14high,14low,%K,%D,gain,loss,avg_gain,avg_loss,rs,rsi
0,2019-01-02,259.2799987792969,269.75,256.5799865722656,267.6600036621094,267.6600036621094,11679500,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.3399963378906,0.0,0.0,,,,,,,,,,
1,2019-01-03,270.20001220703125,275.7900085449219,264.42999267578125,271.20001220703125,271.20001220703125,14969600,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.80999755859375,100.0,100.0,,,,,3.54,0.0,,,,
2,2019-01-04,281.8800048828125,297.79998779296875,278.5400085449219,297.57000732421875,297.57000732421875,19330100,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.19000244140625,100.0,100.0,,,,,26.37,0.0,,,,
3,2019-01-07,302.1000061035156,316.79998779296875,301.6499938964844,315.3399963378906,315.3399963378906,18620100,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.7099914550781,100.0,100.0,,,,,17.77,0.0,,,,
4,2019-01-08,319.9800109863281,320.5899963378906,308.010009765625,320.2699890136719,320.2699890136719,15359200,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.57000732421875,100.0,100.0,,,,,4.93,0.0,,,,
5,2019-01-09,317.7099914550781,323.3500061035156,313.5,319.9599914550781,319.9599914550781,13343200,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.7300109863281,100.0,100.0,,,,,0.0,0.31,,,,
6,2019-01-10,314.57000732421875,325.3699951171875,312.5,324.6600036621094,324.6600036621094,13472500,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.9700012207031,100.0,100.0,,,,,4.7,0.0,,,,
7,2019-01-11,330.9599914550781,341.0899963378906,328.5199890136719,337.5899963378906,337.5899963378906,19500400,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.7699890136719,100.0,100.0,,,,,12.93,0.0,,,,
8,2019-01-14,334.239990234375,335.4800109863281,329.1300048828125,332.94000244140625,332.94000244140625,10499600,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,298.8349914550781,0.0,0.0,0.0,359.07000732421875,100.0,100.0,,,,,0.0,4.65,,,,
9,2019-01-15,349.6000061035156,357.2200012207031,347.0,354.6400146484375,354.6400146484375,21181200,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,310.8249969482422,0.0,0.0,0.0,356.8699951171875,100.0,100.0,,,,,21.7,0.0,,,,
10,2019-01-16,354.0,358.8500061035156,348.1099853515625,351.3900146484375,351.3900146484375,15385500,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,318.69500732421875,0.0,0.0,0.0,361.9200134277344,100.0,100.0,,,,,0.0,3.25,,,,
11,2019-01-17,349.5,355.7900085449219,346.4100036621094,353.19000244140625,353.19000244140625,18871200,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,330.25,0.0,0.0,0.0,359.9100036621094,99.85704026827108,99.61901305024763,,,,,1.8,0.0,,,,
12,2019-01-18,351.9700012207031,353.0,336.7300109863281,339.1000061035156,339.1000061035156,26621000,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,333.4300079345703,0.0,0.0,0.0,356.9700012207031,98.98721310546796,97.3108783019248,,,,,0.0,14.09,,,,
13,2019-01-22,334.8900146484375,336.8800048828125,321.0299987792969,325.1600036621094,325.1600036621094,17941400,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,335.6750030517578,0.0,0.0,0.0,363.0199890136719,97.22909791410001,92.81207634297509,358.8500061035156,256.5799865722656,67.05779211168351,,0.0,13.94,,,,
14,2019-01-23,328.25,331.75,318.6000061035156,321.989990234375,321.989990234375,13480100,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,335.6750030517578,0.0,0.0,0.0,363.9100036621094,95.40903353702764,88.32940934654764,358.8500061035156,264.42999267578125,60.96164940989769,,0.0,3.17,6.695714285714286,2.815,2.3785841157066736,70.40180247840782
