Entity,Code,Day,Daily new confirmed cases of COVID-19,Daily new confirmed deaths due to COVID-19
World,OWID_WRL,2020-01-22,0,0
World,OWID_WRL,2020-01-23,100,1
World,OWID_WRL,2020-01-24,287,8
World,OWID_WRL,2020-01-25,493,16
World,OWID_WRL,2020-01-26,683,14
World,OWID_WRL,2020-01-27,809,26
World,OWID_WRL,2020-01-28,2651,49
World,OWID_WRL,2020-01-29,589,2
World,OWID_WRL,2020-01-30,2068,39
World,OWID_WRL,2020-01-31,1690,42
World,OWID_WRL,2020-02-01,2111,46
World,OWID_WRL,2020-02-02,4749,104
World,OWID_WRL,2020-02-03,3100,64
World,OWID_WRL,2020-02-04,4012,66
World,OWID_WRL,2020-02-05,3745,72
World,OWID_WRL,2020-02-06,3162,70
World,OWID_WRL,2020-02-07,3594,85
World,OWID_WRL,2020-02-08,2731,87
World,OWID_WRL,2020-02-09,3031,100
World,OWID_WRL,2020-02-10,2609,107
World,OWID_WRL,2020-02-11,2043,100
World,OWID_WRL,2020-02-12,418,5
World,OWID_WRL,2020-02-13,15152,253
World,OWID_WRL,2020-02-14,6528,152
World,OWID_WRL,2020-02-15,2143,143
World,OWID_WRL,2020-02-16,2183,104
World,OWID_WRL,2020-02-17,2035,98
World,OWID_WRL,2020-02-18,1882,140
World,OWID_WRL,2020-02-19,500,115
World,OWID_WRL,2020-02-20,561,125
World,OWID_WRL,2020-02-21,630,4
World,OWID_WRL,2020-02-22,1762,208
World,OWID_WRL,2020-02-23,382,11
World,OWID_WRL,2020-02-24,568,160
World,OWID_WRL,2020-02-25,854,80
World,OWID_WRL,2020-02-26,973,61
World,OWID_WRL,2020-02-27,1344,43
World,OWID_WRL,2020-02-28,1424,59
World,OWID_WRL,2020-02-29,1871,70
World,OWID_WRL,2020-03-01,2379,54
World,OWID_WRL,2020-03-02,1980,90
World,OWID_WRL,2020-03-03,2612,74
World,OWID_WRL,2020-03-04,2322,96
World,OWID_WRL,2020-03-05,2711,95
World,OWID_WRL,2020-03-06,3930,114
World,OWID_WRL,2020-03-07,4131,104
World,OWID_WRL,2020-03-08,3854,242
World,OWID_WRL,2020-03-09,4323,194
World,OWID_WRL,2020-03-10,4786,275
World,OWID_WRL,2020-03-11,7504,352
World,OWID_WRL,2020-03-12,6756,321
World,OWID_WRL,2020-03-13,13194,503
World,OWID_WRL,2020-03-14,10888,426
World,OWID_WRL,2020-03-15,11233,666
World,OWID_WRL,2020-03-16,14567,715
World,OWID_WRL,2020-03-17,15174,851
World,OWID_WRL,2020-03-18,17560,954
World,OWID_WRL,2020-03-19,27087,1144
World,OWID_WRL,2020-03-20,29532,1575
World,OWID_WRL,2020-03-21,32433,1809
World,OWID_WRL,2020-03-22,34178,1830
World,OWID_WRL,2020-03-23,42551,2096
World,OWID_WRL,2020-03-24,41888,2426
World,OWID_WRL,2020-03-25,51480,2971
World,OWID_WRL,2020-03-26,60810,3256
World,OWID_WRL,2020-03-27,63913,3638
World,OWID_WRL,2020-03-28,69564,4049
World,OWID_WRL,2020-03-29,56503,3819
World,OWID_WRL,2020-03-30,65003,4368
World,OWID_WRL,2020-03-31,78439,5168
World,OWID_WRL,2020-04-01,86323,6644
World,OWID_WRL,2020-04-02,82414,6242
World,OWID_WRL,2020-04-03,84194,6500
World,OWID_WRL,2020-04-04,77156,6591
World,OWID_WRL,2020-04-05,71696,5920
World,OWID_WRL,2020-04-06,74670,6427
World,OWID_WRL,2020-04-07,72426,8516
World,OWID_WRL,2020-04-08,82153,7219
World,OWID_WRL,2020-04-09,87161,8153
World,OWID_WRL,2020-04-10,86421,7740
World,OWID_WRL,2020-04-11,75484,6982
World,OWID_WRL,2020-04-12,118581,6514
World,OWID_WRL,2020-04-13,71824,6512
World,OWID_WRL,2020-04-14,84603,7358
World,OWID_WRL,2020-04-15,78259,8765
World,OWID_WRL,2020-04-16,94454,7708
World,OWID_WRL,2020-04-17,87863,7592
World,OWID_WRL,2020-04-18,78220,6428
World,OWID_WRL,2020-04-19,76315,6099
World,OWID_WRL,2020-04-20,76481,6511
World,OWID_WRL,2020-04-21,76077,7197
World,OWID_WRL,2020-04-22,82014,7275
World,OWID_WRL,2020-04-23,84390,7272
World,OWID_WRL,2020-04-24,93602,6835
World,OWID_WRL,2020-04-25,83149,6048
World,OWID_WRL,2020-04-26,70762,4818
World,OWID_WRL,2020-04-27,71026,5445
World,OWID_WRL,2020-04-28,75753,6627
World,OWID_WRL,2020-04-29,78771,6980
World,OWID_WRL,2020-04-30,83699,6254
World,OWID_WRL,2020-05-01,88964,5594
World,OWID_WRL,2020-05-02,78390,6013
World,OWID_WRL,2020-05-03,74022,4277
World,OWID_WRL,2020-05-04,77611,4843
World,OWID_WRL,2020-05-05,79655,6147
World,OWID_WRL,2020-05-06,90438,6763
World,OWID_WRL,2020-05-07,90136,5869
World,OWID_WRL,2020-05-08,91893,5953
World,OWID_WRL,2020-05-09,84241,4917
World,OWID_WRL,2020-05-10,75213,4338
World,OWID_WRL,2020-05-11,76234,4079
World,OWID_WRL,2020-05-12,85403,5738
World,OWID_WRL,2020-05-13,84416,5437
World,OWID_WRL,2020-05-14,95643,5751
World,OWID_WRL,2020-05-15,96330,5756
World,OWID_WRL,2020-05-16,93907,4541
World,OWID_WRL,2020-05-17,78347,3878
World,OWID_WRL,2020-05-18,89139,4396
World,OWID_WRL,2020-05-19,95813,5186
World,OWID_WRL,2020-05-20,105421,5406
World,OWID_WRL,2020-05-21,106058,5035
World,OWID_WRL,2020-05-22,107248,5705
World,OWID_WRL,2020-05-23,104107,4453
World,OWID_WRL,2020-05-24,93646,3483
World,OWID_WRL,2020-05-25,88583,3614
World,OWID_WRL,2020-05-26,92358,4779
World,OWID_WRL,2020-05-27,102551,5220
World,OWID_WRL,2020-05-28,119993,4992
World,OWID_WRL,2020-05-29,121475,5156
World,OWID_WRL,2020-05-30,135040,4361
World,OWID_WRL,2020-05-31,102859,3289
World,OWID_WRL,2020-06-01,100280,3744
World,OWID_WRL,2020-06-02,123392,5264
World,OWID_WRL,2020-06-03,114479,5620
World,OWID_WRL,2020-06-04,138326,5527
World,OWID_WRL,2020-06-05,133562,5057
World,OWID_WRL,2020-06-06,129331,4140
World,OWID_WRL,2020-06-07,111011,3257
World,OWID_WRL,2020-06-08,103051,4455
World,OWID_WRL,2020-06-09,125995,5045
World,OWID_WRL,2020-06-10,137190,5428
World,OWID_WRL,2020-06-11,136192,5142
World,OWID_WRL,2020-06-12,127473,4744
World,OWID_WRL,2020-06-13,133901,4393
World,OWID_WRL,2020-06-14,131945,3781
World,OWID_WRL,2020-06-15,124922,4067
World,OWID_WRL,2020-06-16,143910,7119
World,OWID_WRL,2020-06-17,143202,5477
World,OWID_WRL,2020-06-18,143096,5355
World,OWID_WRL,2020-06-19,181132,5182
World,OWID_WRL,2020-06-20,185879,4482
World,OWID_WRL,2020-06-21,112857,4644
World,OWID_WRL,2020-06-22,142336,3867
World,OWID_WRL,2020-06-23,168184,5568
World,OWID_WRL,2020-06-24,171466,5529
World,OWID_WRL,2020-06-25,179510,5110
World,OWID_WRL,2020-06-26,192473,5083
World,OWID_WRL,2020-06-27,176397,4736
World,OWID_WRL,2020-06-28,168862,3619
World,OWID_WRL,2020-06-29,152714,4074
World,OWID_WRL,2020-06-30,183754,5250
World,OWID_WRL,2020-07-01,215131,5341
World,OWID_WRL,2020-07-02,204961,5507
World,OWID_WRL,2020-07-03,202626,5243
World,OWID_WRL,2020-07-04,189705,4795
World,OWID_WRL,2020-07-05,186215,3838
World,OWID_WRL,2020-07-06,168280,4279
World,OWID_WRL,2020-07-07,209581,6360
World,OWID_WRL,2020-07-08,215262,5632
World,OWID_WRL,2020-07-09,224571,5846
World,OWID_WRL,2020-07-10,233101,5747
World,OWID_WRL,2020-07-11,212799,5129
World,OWID_WRL,2020-07-12,192929,4314
World,OWID_WRL,2020-07-13,194478,4427
World,OWID_WRL,2020-07-14,221002,5978
World,OWID_WRL,2020-07-15,229776,5926
World,OWID_WRL,2020-07-16,244897,6172
World,OWID_WRL,2020-07-17,237438,5963
World,OWID_WRL,2020-07-18,235321,6533
World,OWID_WRL,2020-07-19,211887,4913
World,OWID_WRL,2020-07-20,208173,3944
World,OWID_WRL,2020-07-21,243121,6373
World,OWID_WRL,2020-07-22,275355,7400
World,OWID_WRL,2020-07-23,279642,6657
World,OWID_WRL,2020-07-24,283501,6442
World,OWID_WRL,2020-07-25,249547,6084
World,OWID_WRL,2020-07-26,211799,4385
World,OWID_WRL,2020-07-27,234394,5321
World,OWID_WRL,2020-07-28,263876,6935
World,OWID_WRL,2020-07-29,270238,6649
